#,Company,Symbol,Weight,Price,Chg,% Chg
84,Tjx Companies Inc,TJX,0.263256,84.18,-0.61,(-0.71%)
85,Gilead Sciences Inc,GILD,0.258307,76.36,-0.71,(-0.92%)
86,Marsh & Mclennan Cos,MMC,0.250302,185.47,-2.62,(-1.39%)
87,Automatic Data Processing,ADP,0.244743,218.68,-1.11,(-0.50%)
88,Vertex Pharmaceuticals Inc,VRTX,0.243183,350.31,-1.6,(-0.46%)
89,American Tower Corp,AMT,0.242328,194.98,1.04,(0.53%)
90,Citigroup Inc,C,0.241174,46.84,0.8,(1.74%)
91,Cvs Health Corp,CVS,0.238579,69.85,0.72,(1.04%)
92,Lam Research Corp,LRCX,0.233084,649.5,6.64,(1.03%)
93,Schwab (Charles) Corp,SCHW,0.226648,57.76,1.08,(1.91%)
94,The Cigna Group,CI,0.223384,278.62,-1.99,(-0.71%)
95,Altria Group Inc,MO,0.217359,45.83,0.53,(1.16%)
96,Zoetis Inc,ZTS,0.215341,172.54,0.33,(0.19%)
97,T Mobile Us Inc,TMUS,0.21527,139.3,0.4,(0.29%)
98,Eaton Corp Plc,ETN,0.214975,200.69,-0.41,(-0.20%)
99,Chubb Ltd,CB,0.214442,192.35,-0.21,(-0.11%)
